Survived,Pclass,Sex,Age,Fare,Embarked,Family_size
1,first,male,42.0,4.709539372444106,S,1
1,third,male,20.0,3.171143031079696,C,2
0,third,male,21.0,2.3886893355718013,S,0
0,third,male,21.0,3.197864250049784,S,0
0,first,male,61.0,4.063935002320833,S,0
0,second,male,57.0,2.888361547293197,Q,0
1,first,female,21.0,5.015437768039126,S,0
0,third,male,26.0,2.394298482187998,S,0
0,third,male,28.0,2.3722493713075887,Q,0
1,first,male,80.0,3.967898924663564,S,0
0,third,male,51.0,2.275829536651166,S,0
1,first,male,32.0,3.9891340466493737,C,0
0,first,male,28.0,0.0,S,0
0,third,female,9.0,3.8751330405718414,S,5
1,second,female,28.0,2.9473095617168967,S,0
0,third,male,32.0,2.398221310352146,S,0
0,second,male,31.0,3.7977983217500153,S,2
0,third,female,41.0,4.332625767324704,S,5
0,third,male,28.0,3.197864250049784,S,1
0,third,male,20.0,2.3886893355718013,S,0
1,first,female,24.0,5.015437768039126,C,0
0,third,female,2.0,3.8751330405718414,S,5
1,third,male,28.0,4.808349126889522,S,0
1,third,female,0.75,3.413419008501807,C,3
1,first,male,48.0,5.015437768039126,C,1
0,third,male,19.0,2.394298482187998,S,0
1,first,male,56.0,4.185977149422453,C,0
0,third,male,28.0,2.346921443108511,S,0
1,third,female,23.0,2.346921443108511,S,0
0,third,male,28.0,2.394298482187998,S,0
1,second,female,18.0,3.632003132274872,S,1
0,third,male,21.0,2.464685830698385,S,0
1,third,female,28.0,2.3853068078981887,Q,0
0,third,female,18.0,2.230195558586317,Q,0
0,second,male,24.0,5.015437768039126,S,2
0,third,male,28.0,2.394298482187998,S,0
0,third,female,32.0,3.152819522300036,Q,2
0,second,male,23.0,2.9473095617168967,S,0
0,first,male,58.0,5.015437768039126,C,2
1,first,male,50.0,5.015437768039126,S,2
0,third,male,40.0,2.3007628978459755,C,0
0,first,male,47.0,3.765532065031069,S,0
0,third,male,36.0,2.3393367404132643,S,0
1,third,male,20.0,2.398221310352146,S,1
0,second,male,32.0,5.015437768039126,S,2
0,second,male,25.0,2.9473095617168967,S,0
0,third,male,28.0,2.377943198319083,S,0
0,third,male,43.0,2.4148822025895167,S,0
1,first,female,28.0,4.695114608316313,S,1
1,second,female,40.0,4.309528842783427,S,2
0,first,male,31.0,4.695114608316313,S,1
0,second,male,70.0,2.704889119955267,S,0
1,second,male,31.0,2.9473095617168967,S,0
0,second,male,28.0,0.0,S,0
0,third,male,18.0,2.377943198319083,S,0
0,third,male,24.5,2.4148822025895167,S,0
1,third,female,18.0,2.6330044982931136,S,0
0,third,female,43.0,4.555456251917921,S,7
1,first,male,36.0,5.015437768039126,C,1
0,third,female,28.0,2.426419622625343,Q,0
1,first,male,27.0,5.015437768039126,C,0
0,third,male,20.0,2.5619313122928133,S,0
0,third,male,14.0,4.555456251917921,S,7
0,second,male,60.0,4.309528842783427,S,2
0,second,male,25.0,4.39437746047154,C,3
0,third,male,14.0,4.332625767324704,S,5
0,third,male,19.0,2.669427400823209,S,0
0,third,male,18.0,2.38077400824106,S,0
1,first,female,15.0,5.015437768039126,S,1
1,first,male,31.0,4.82053695196646,S,1
1,third,female,4.0,2.983792083617088,C,1
1,third,male,28.0,4.808349126889522,S,0
0,third,male,25.0,2.3007628978459755,C,0
0,first,male,60.0,3.8121732488288633,S,0
0,second,male,52.0,2.99096883417017,S,0
0,third,male,44.0,2.4148822025895167,S,0
1,third,female,28.0,2.3722493713075887,Q,0
0,first,male,49.0,5.015437768039126,C,2
0,third,male,42.0,2.360800273073946,S,0
1,first,female,18.0,5.015437768039126,C,1
1,first,male,35.0,3.799603107918154,S,0
0,third,female,18.0,3.0705848524372903,C,1
0,third,male,25.0,2.3733983331641517,Q,0
0,third,male,26.0,2.3886893355718013,S,1
0,second,male,39.0,3.7857078329768887,S,0
1,second,female,45.0,2.99096883417017,S,0
1,first,male,42.0,3.799603107918154,S,0
1,first,female,22.0,5.015437768039126,S,0
1,third,male,28.0,3.133280658269117,C,2
1,first,female,24.0,4.628388154062519,C,0
0,first,male,28.0,3.8121732488288633,S,0
1,first,male,48.0,4.695114608316313,S,1
0,third,male,29.0,2.5921660430214994,S,0
0,second,male,52.0,2.9473095617168967,S,0
0,third,male,19.0,2.360800273073946,S,0
1,first,female,38.0,5.015437768039126,C,0
1,second,female,27.0,2.704889119955267,S,0
0,third,male,28.0,3.152819522300036,Q,0
0,third,male,33.0,2.377943198319083,S,0
1,second,female,6.0,4.090879594043599,S,1
0,third,male,17.0,2.275829536651166,S,1
0,second,male,34.0,2.9473095617168967,S,0
0,second,male,50.0,2.9473095617168967,S,0
1,first,male,27.0,4.723612218851696,S,1
0,third,male,20.0,2.493586391951111,S,0
1,second,female,30.0,3.519407197147049,S,3
1,third,female,28.0,2.372823978954357,Q,0
0,second,male,25.0,3.7857078329768887,S,1
0,third,female,25.0,2.398221310352146,S,1
1,first,female,29.0,5.015437768039126,S,0
0,third,male,11.0,3.3833335873882944,C,0
0,second,male,28.0,0.0,S,0
0,second,male,23.0,2.9473095617168967,S,0
0,second,male,23.0,2.9473095617168967,S,0
0,third,male,28.5,3.197864250049784,S,0
0,third,female,48.0,4.143947681749917,S,4
1,first,male,35.0,5.015437768039126,C,0
0,third,male,28.0,2.394298482187998,S,0
0,third,male,28.0,2.394298482187998,S,0
1,first,male,28.0,3.967898924663564,S,0
0,first,male,36.0,5.015437768039126,S,1
1,first,female,21.0,5.015437768039126,C,4
0,third,male,24.0,3.197864250049784,S,1
1,third,male,31.0,2.398221310352146,S,0
0,first,male,70.0,5.015437768039126,S,2
0,third,male,16.0,3.4747469148569685,S,2
1,second,female,30.0,2.9473095617168967,S,0
0,first,male,19.0,4.723612218851696,S,1
0,third,male,31.0,2.3745326220959444,Q,0
1,second,female,4.0,3.632003132274872,S,2
1,third,male,6.0,2.8998993211269903,S,1
0,third,male,33.0,2.594097211794104,S,0
0,third,male,23.0,2.394298482187998,S,0
1,second,female,48.0,5.00193140399786,S,3
1,second,male,0.67,3.074291731413492,S,2
0,third,male,28.0,2.38077400824106,S,0
0,second,male,18.0,2.807167738626635,S,0
0,third,male,34.0,2.4148822025895167,S,0
1,first,female,33.0,5.015437768039126,S,0
0,third,male,28.0,3.074291731413492,S,0
0,third,male,41.0,2.286223246576346,S,0
1,third,male,20.0,2.3013700064551847,C,0
1,first,female,36.0,5.015437768039126,S,3
0,third,male,16.0,2.377943198319083,S,0
1,first,female,51.0,5.015437768039126,S,1
0,first,male,28.0,4.329706139569535,C,0
0,third,female,30.5,2.3745326220959444,Q,0
0,third,male,28.0,3.6929033867379175,Q,1
0,third,male,32.0,2.4556280897843377,S,0
0,third,male,24.0,2.594097211794104,S,0
0,third,male,48.0,2.3886893355718013,S,0
0,second,female,57.0,2.704889119955267,S,0
0,third,male,28.0,2.3007628978459755,C,0
1,second,female,54.0,3.632003132274872,S,4
0,third,male,18.0,2.3745326220959444,S,0
0,third,male,28.0,2.3745326220959444,Q,0
1,third,female,5.0,2.8998993211269903,S,0
0,third,male,28.0,2.372823978954357,Q,0
1,first,female,43.0,5.015437768039126,S,1
1,third,female,13.0,2.3013700064551847,C,0
1,first,female,17.0,4.82053695196646,S,1
0,first,male,29.0,3.967898924663564,S,0
0,third,male,28.0,3.656146200317081,S,3
0,third,male,25.0,2.2752103292422072,S,0
0,third,male,25.0,2.3043724544848647,S,0
1,third,female,18.0,2.3393367404132643,S,0
0,third,male,8.0,3.929969396549108,Q,5
1,third,male,1.0,3.4942745047830144,S,3
0,first,male,46.0,5.015437768039126,C,0
0,third,male,28.0,2.3745326220959444,Q,0
0,second,male,16.0,3.7857078329768887,S,0
0,third,female,28.0,5.015437768039126,S,10
0,first,male,28.0,3.997365522502673,C,0
0,third,male,25.0,2.394298482187998,S,0
0,second,male,39.0,2.9473095617168967,S,0
1,first,female,49.0,3.782265137793569,S,0
1,third,female,31.0,2.496177899500148,S,0
0,third,male,30.0,2.3013700064551847,C,0
0,third,female,30.0,3.6929033867379175,S,2
0,second,male,34.0,2.9473095617168967,S,0
1,second,female,31.0,3.7977983217500153,S,2
1,first,male,11.0,5.015437768039126,S,3
1,third,male,0.42,2.47527584983394,C,1
1,third,male,27.0,2.2641028388841624,S,0
0,third,male,31.0,2.377943198319083,S,0
0,first,male,39.0,0.0,S,0
0,third,female,18.0,2.377943198319083,S,0
0,second,male,39.0,2.9473095617168967,S,0
1,first,female,33.0,4.723612218851696,S,1
0,third,male,26.0,2.393181274740757,S,0
0,third,male,39.0,3.6929033867379175,S,0
0,second,male,35.0,2.704889119955267,S,0
0,third,female,6.0,4.0214448601989,S,6
0,third,male,30.5,2.4148822025895167,S,0
0,first,male,28.0,0.0,S,0
0,third,female,23.0,2.398221310352146,S,0
0,second,male,31.0,4.24035322449638,C,2
0,third,male,43.0,2.1835522221716626,S,0
0,third,male,10.0,3.8751330405718414,S,5
1,first,female,52.0,5.015437768039126,S,2
1,third,male,27.0,2.493586391951111,S,0
0,first,male,38.0,0.0,S,0
1,third,female,27.0,2.8998993211269903,S,1
0,third,male,2.0,4.332625767324704,S,5
0,third,male,28.0,2.260379031135858,Q,0
0,third,male,28.0,4.808349126889522,S,0
1,second,male,1.0,4.24035322449638,C,2
1,third,male,28.0,2.3745326220959444,Q,0
1,first,female,62.0,5.015437768039126,S,0
1,third,female,15.0,3.0705848524372903,C,1
1,second,male,0.83,3.380909071856361,S,2
0,third,male,28.0,2.3013700064551847,C,0
0,third,male,23.0,2.3886893355718013,S,0
0,third,male,18.0,2.4475798096131376,S,0
1,first,female,39.0,5.015437768039126,C,2
0,third,male,21.0,2.493586391951111,S,0
0,third,male,28.0,2.4148822025895167,S,0
1,third,male,32.0,4.808349126889522,S,0
1,first,male,28.0,3.955006469249529,C,0
0,third,male,20.0,2.398221310352146,S,0
0,second,male,16.0,2.704889119955267,S,0
1,first,female,30.0,4.01006204491078,C,0
0,third,male,34.5,2.181571567602814,C,0
0,third,male,17.0,2.493586391951111,S,0
0,third,male,42.0,2.346921443108511,S,0
0,third,male,28.0,5.015437768039126,S,10
0,third,male,35.0,2.394298482187998,C,0
0,second,male,28.0,4.090879594043599,S,1
1,first,female,28.0,5.015437768039126,C,1
0,third,male,4.0,4.0214448601989,S,6
0,third,male,74.0,2.377943198319083,S,0
0,third,female,9.0,3.133280658269117,C,2
1,first,female,16.0,4.323010959424522,S,1
0,second,female,44.0,3.7857078329768887,S,1
1,third,female,18.0,2.576649372122712,S,1
1,first,female,45.0,5.015437768039126,S,2
1,first,male,51.0,3.8121732488288633,S,0
1,third,female,24.0,3.413419008501807,C,3
0,third,male,28.0,2.3013700064551847,C,0
0,third,male,41.0,3.042258840703133,S,2
0,second,male,21.0,2.807167738626635,S,1
1,first,female,48.0,3.782265137793569,S,0
0,third,female,28.0,5.015437768039126,S,10
0,second,male,24.0,2.9473095617168967,S,0
1,second,female,42.0,2.9473095617168967,S,0
1,second,female,27.0,3.0214131821806136,C,1
0,first,male,31.0,4.655253826266092,S,0
0,third,male,28.0,2.594097211794104,S,0
1,third,male,4.0,2.770564334584179,S,2
0,third,male,26.0,2.394298482187998,S,0
1,first,female,47.0,4.709539372444106,S,2
0,first,male,33.0,1.930489781870358,S,0
0,third,male,47.0,2.5350176560332587,S,0
1,second,female,28.0,3.685106597049385,C,1
1,third,female,15.0,2.3007628978459755,C,0
0,third,male,20.0,2.63346446956815,S,0
0,third,male,19.0,2.394298482187998,S,0
0,third,male,28.0,2.394298482187998,S,0
1,first,female,56.0,5.015437768039126,C,1
1,second,female,25.0,3.7857078329768887,S,1
0,third,male,33.0,2.394298482187998,S,0
0,third,female,22.0,2.706663122364469,S,0
0,second,male,28.0,2.704889119955267,S,0
0,third,male,25.0,2.2752103292422072,S,0
0,third,female,39.0,3.929969396549108,Q,5
0,second,male,27.0,2.9473095617168967,S,0
1,first,female,19.0,3.967898924663564,S,0
0,third,female,28.0,3.656146200317081,S,3
1,first,male,26.0,3.967898924663564,C,0
0,third,male,32.0,2.3745326220959444,Q,0
